,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,banda aceh,5.56,95.32,80.96,73,98,11.92,ID,1602806262
330,boituva,-23.28,-47.67,70.0,70,77,7.0,BR,1602806542
331,antsohihy,-14.88,47.99,75.4,62,50,6.69,MG,1602806543
332,calama,-22.47,-68.93,69.8,10,56,26.4,CL,1602806400
333,avera,33.19,-82.53,75.2,94,1,4.03,US,1602806545
334,tumen,42.97,129.84,45.27,63,31,1.59,CN,1602806547
335,alugan,12.22,125.48,80.46,85,99,3.0,PH,1602806548
336,touros,-5.2,-35.46,77.0,83,20,6.93,BR,1602806334
337,san patricio,28.02,-97.52,86.0,70,20,18.34,US,1602806550
338,fairbanks,64.84,-147.72,21.99,73,90,4.7,US,1602806515
339,chimbote,-9.09,-78.58,62.8,85,13,6.53,PE,1602806553
340,gizo,-8.1,156.84,83.53,69,20,4.25,SB,1602806554
341,abu dhabi,24.47,54.37,78.8,41,0,3.36,AE,1602806507
342,nishihara,26.18,127.76,78.8,88,75,3.36,JP,1602806556
343,kahului,20.89,-156.47,89.6,43,40,11.41,US,1602806403
344,pahrump,36.21,-115.98,93.99,10,0,7.54,US,1602806558
345,jian,27.12,114.98,63.81,92,100,7.14,CN,1602806560
346,mahenge,-8.68,36.72,65.39,97,46,4.07,TZ,1602806561
347,narrabri,-30.32,149.78,77.0,36,7,16.11,AU,1602806562
348,nago,26.59,127.98,77.0,94,75,3.36,JP,1602806564
349,saryg-sep,51.5,95.6,34.45,88,100,3.09,RU,1602806565
350,palanga,55.92,21.07,39.2,93,40,4.7,LT,1602806566
351,maraa,-1.83,-65.37,74.44,96,78,2.75,BR,1602806567
352,yahotyn,50.28,31.76,53.6,81,40,4.47,UA,1602806568
353,yashkul,46.17,45.34,53.76,84,0,1.74,RU,1602806570
354,mattru,7.62,-11.83,74.61,98,100,2.39,SL,1602806571
355,guilford,36.07,-79.8,70.0,83,40,5.82,US,1602806518
356,rorvik,64.86,11.24,49.59,82,100,16.31,NO,1602806573
357,hofn,64.25,-15.21,45.16,79,3,3.13,IS,1602806574
358,curup,-3.47,102.53,70.56,84,94,1.21,ID,1602806576
359,champerico,14.3,-91.92,75.2,94,75,6.93,GT,1602806400
360,juneau,58.3,-134.42,46.99,75,90,11.41,US,1602806578
361,homer,59.64,-151.55,48.2,76,40,8.05,US,1602806551
362,alexandria,31.22,29.96,75.2,64,0,4.7,EG,1602806434
363,terrak,65.09,12.37,46.4,81,75,11.41,NO,1602806582
364,flinders,-34.58,150.86,63.0,85,100,5.01,AU,1602806583
365,parati,-23.22,-44.71,69.26,83,99,4.61,BR,1602806584
366,havre-saint-pierre,50.23,-63.6,42.8,93,40,4.7,CA,1602806585
367,satipo,-11.25,-74.64,72.52,75,38,2.28,PE,1602806586
368,kavieng,-2.57,150.8,84.72,68,51,10.69,PG,1602806588
369,saintes,45.67,-0.75,48.2,87,0,3.36,FR,1602806589
370,rio rancho,35.23,-106.66,81.0,10,1,14.99,US,1602806467
371,kjollefjord,70.95,27.35,36.39,82,100,16.46,NO,1602806591
372,pemangkat,1.17,108.97,78.51,84,100,8.39,ID,1602806592
373,dalvik,65.97,-18.53,28.4,92,0,3.36,IS,1602806593
374,shymkent,42.3,69.6,50.0,46,0,4.47,KZ,1602806595
375,pouembout,-21.13,164.9,70.39,88,96,4.99,NC,1602806596
376,boyuibe,-20.42,-63.28,71.6,56,75,4.7,BO,1602806597
377,kulhudhuffushi,6.62,73.07,81.9,74,84,19.8,MV,1602806598
378,warri,5.52,5.75,75.31,94,100,3.58,NG,1602806599
379,sistranda,63.73,8.83,46.4,100,75,14.99,NO,1602806601
380,faya,18.39,42.45,57.2,15,0,5.95,SA,1602806602
381,bowen,-20.02,148.23,77.0,50,0,18.34,AU,1602806603
382,raudeberg,61.99,5.14,46.0,93,5,20.31,NO,1602806604
383,kysyl-syr,63.9,122.76,26.65,97,100,8.59,RU,1602806606
384,krasnystaw,50.98,23.17,42.8,100,75,4.7,PL,1602806607
385,banga,6.42,124.78,79.95,78,88,1.7,PH,1602806608
386,matara,5.95,80.54,78.67,84,99,13.29,LK,1602806609
387,arlit,18.74,7.39,90.63,12,0,8.08,NE,1602806610
388,portland,45.52,-122.68,64.99,45,20,8.05,US,1602805981
389,hope,33.67,-93.59,63.0,66,100,4.0,US,1602806613
390,kungurtug,50.6,97.52,29.52,86,83,1.61,RU,1602806614
391,yulara,-25.24,130.99,80.6,19,0,13.87,AU,1602806397
392,pasni,25.26,63.47,78.22,29,0,23.55,PK,1602806616
393,mpanda,-6.37,31.04,69.71,68,18,1.34,TZ,1602806617
394,chapais,49.78,-74.85,44.6,93,90,9.17,CA,1602806618
395,jertih,5.73,102.49,75.2,100,20,2.24,MY,1602806620
396,magadan,59.57,150.8,33.91,80,36,12.15,RU,1602806621
397,baculin,7.45,126.58,83.95,64,85,3.4,PH,1602806622
398,les cayes,18.2,-73.75,79.61,78,27,2.28,HT,1602806623
399,smirnykh,49.75,142.83,38.07,70,21,16.17,RU,1602806471
400,mingshui,36.72,117.5,59.0,84,100,1.86,CN,1602806626
401,jamame,0.07,42.75,77.27,79,2,10.07,SO,1602806627
402,saint-paul,-21.01,55.27,71.6,60,24,8.05,RE,1602806628
403,ilo,-17.64,-71.34,62.29,80,20,3.71,PE,1602806629
404,inongo,-1.95,18.27,71.92,91,34,4.99,CD,1602806630
405,carazinho,-28.28,-52.79,60.93,82,36,12.21,BR,1602806632
406,maumere,-8.62,122.21,84.06,59,100,0.85,ID,1602806633
407,dentsville,34.06,-80.96,78.8,69,20,3.18,US,1602806634
408,turkistan,43.0,68.0,55.09,39,0,13.51,KZ,1602806635
409,la argentina,2.2,-75.98,62.2,86,34,4.47,CO,1602806636
410,strelka,58.07,93.03,25.88,96,5,5.7,RU,1602806637
411,boyarka,50.32,30.3,55.99,71,92,6.71,UA,1602806639
412,omboue,-1.57,9.26,73.56,86,23,6.04,GA,1602806640
413,podosinovets,60.28,47.07,36.86,95,100,10.04,RU,1602806641
414,bulawayo,-20.15,28.58,60.93,74,10,7.99,ZW,1602806642
415,puerto madero,14.72,-92.42,75.2,100,75,2.68,MX,1602806643
416,tibiri,13.56,7.05,87.01,31,32,4.92,NE,1602806644
417,namatanai,-3.67,152.43,84.42,67,92,5.57,PG,1602806645
418,merritt,50.11,-120.79,51.8,66,90,17.22,CA,1602806647
419,medvedka,61.16,46.39,32.61,96,100,10.13,RU,1602806648
420,kaseda,31.42,130.32,62.6,82,75,2.24,JP,1602806649
421,masvingo,-20.06,30.83,60.1,82,0,2.55,ZW,1602806650
422,kutum,14.2,24.67,76.64,19,0,9.22,SD,1602806651
423,mirnyy,62.54,113.96,32.0,94,90,13.42,RU,1602806652
424,bay roberts,47.6,-53.26,57.99,1,90,3.91,CA,1602806654
425,khipro,25.83,69.38,80.91,16,0,8.23,PK,1602806655
426,otavi,-19.65,17.33,71.62,32,66,6.24,NA,1602806656
427,linxia,35.6,103.21,38.41,71,1,0.29,CN,1602806657
428,sambava,-14.27,50.17,70.77,87,7,7.9,MG,1602806658
429,da nang,16.07,108.22,78.8,94,75,1.12,VN,1602806522
430,santa rosa,14.31,121.11,84.99,88,40,2.24,PH,1602806661
431,rancho palos verdes,33.74,-118.39,81.0,57,5,17.22,US,1602806521
432,katangli,51.71,143.23,35.49,74,79,18.21,RU,1602806663
433,pizhma,57.86,47.12,49.55,80,68,15.55,RU,1602806665
434,rivadavia,-33.19,-68.46,78.8,31,2,9.17,AR,1602806369
435,itupiranga,-5.13,-49.33,80.6,83,20,2.24,BR,1602806667
436,mamallapuram,12.63,80.17,82.4,88,40,2.24,IN,1602806668
437,daura,11.55,11.41,79.41,53,60,8.48,NG,1602806669
438,mabaruma,8.2,-59.78,77.76,85,11,5.17,GY,1602806671
439,te anau,-45.42,167.72,48.45,82,100,14.7,NZ,1602806672
440,cairns,-16.92,145.77,78.8,69,75,14.99,AU,1602806538
441,petropavlovka,50.61,105.32,34.52,77,74,4.16,RU,1602806674
442,maningrida,-12.07,134.27,85.14,61,80,6.6,AU,1602806675
443,plainview,40.78,-73.47,64.99,77,1,17.22,US,1602806677
444,tezpur,26.63,92.8,73.54,87,0,2.28,IN,1602806678
445,havelock,34.88,-76.9,75.0,85,38,6.93,US,1602806679
446,praia,14.92,-23.51,78.8,94,20,11.41,CV,1602806405
447,olinda,-8.01,-34.86,80.6,69,75,8.05,BR,1602806681
448,taseyevo,57.22,94.9,25.77,96,23,6.31,RU,1602806682
449,kavaratti,10.57,72.64,81.46,77,32,17.6,IN,1602806684
450,glendive,47.11,-104.71,42.8,56,40,19.46,US,1602806464
451,kamaishi,39.27,141.88,46.4,81,40,6.93,JP,1602806686
452,caravelas,-17.71,-39.25,74.89,87,45,5.75,BR,1602806687
453,brae,60.4,-1.35,48.2,87,97,13.87,GB,1602806688
454,saint-pierre,-21.34,55.48,69.8,60,2,5.82,RE,1602806408
455,port blair,11.67,92.75,80.65,83,100,10.76,IN,1602806690
456,kortkeros,61.81,51.58,30.2,100,90,6.71,RU,1602806692
457,tarbagatay,51.48,107.36,26.6,92,90,3.89,RU,1602806693
458,ucluelet,48.93,-125.55,54.0,81,90,8.05,CA,1602806598
459,pekalongan,-6.89,109.68,64.0,79,94,4.16,ID,1602806695
